@a,363939
@b,264629
@c,345631
@d,351661
@e,228846
@f,294565
@g,292655
@h,311928
@i,144326
@j,41032
@k,104581
@l,332404
@m,405519
@n,159591
@o,136519
@p,403270
@q,20176
@r,349126
@s,637647
@t,475009
@u,81491
@v,56595
@w,352610
@x,6248
@y,66197
@z,2571
aa,1631
ab,51262
ac,126081
ad,109644
ae,1209
af,13044
ag,67531
ah,7160
ai,144541
aj,2336
ak,96111
al,309333
am,67413
an,298323
ao,592
ap,57923
aq,5923
ar,300753
as,147668
at,252257
au,34729
av,28710
aw,23660
ax,4265
ay,179358
az,8147
ba,79435
bb,5420
bc,2250
bd,761
be,103889
bf,165
bg,77
bh,64
bi,46703
bj,908
bk,10
bl,88554
bm,571
bn,944
bo,42879
bp,850
bq,67
br,40641
bs,11369
bt,2180
bu,20485
bv,1249
bw,133
bx,21
by,5271
bz,12
ca,129431
cb,411
cc,14225
cd,473
ce,140983
cf,179
cg,272
ch,128400
ci,58844
cj,27
ck,93772
cl,33919
cm,195
cn,365
co,191397
cp,3649
cq,271
cr,39113
cs,9938
ct,121927
cu,30458
cv,343
cw,15
cx,6
cy,9349
cz,158
da,97772
db,1031
dc,505
dd,17182
de,172295
df,626
dg,4314
dh,1586
di,156808
dj,1515
dk,387
dl,10811
dm,4824
dn,40071
do,86012
dp,547
dq,15
dr,50641
ds,71093
dt,612
du,20714
dv,8420
dw,1807
dx,2907
dy,24443
dz,24
ea,328228
eb,8594
ec,109664
ed,396643
ee,221372
ef,51329
eg,27922
eh,4683
ei,22203
ej,327
ek,28176
el,257187
em,92610
en,323175
eo,33387
ep,61159
eq,4586
er,465364
es,362586
et,221397
eu,35602
ev,116661
ew,27595
ex,61773
ey,18125
ez,1579
fa,50889
fb,166
fc,91
fd,339
fe,136955
ff,59030
fg,67
fh,31
fi,95022
fj,3
fk,11
fl,34659
fm,705
fn,2618
fo,62586
fp,48
fq,6
fr,29431
fs,581
ft,15710
fu,47511
fv,3
fw,171
fx,13
fy,2132
ga,26901
gb,171
gc,34
gd,78
ge,164611
gf,233
gg,16118
gh,109127
gi,60922
gj,6
gk,55
gl,19691
gm,631
gn,24825
go,134148
gp,2007
gq,2
gr,53259
gs,45798
gt,3167
gu,30015
gv,26
gw,111
gx,14
gy,6752
gz,37
ha,144785
hb,658
hc,822
hd,1186
he,211440
hf,492
hg,205
hh,2343
hi,166584
hj,23
hk,146
hl,2656
hm,2126
hn,1243
ho,163201
hp,293
hq,39
hr,28980
hs,16452
ht,76319
hu,50507
hv,140
hw,606
hx,1459
hy,15872
hz,6
ia,65483
ib,31920
ic,153042
id,109538
ie,99628
if,47023
ig,97157
ih,533
ii,968
ij,279
ik,51969
il,105197
im,101748
in,798311
io,153218
ip,20805
iq,1042
ir,66097
is,185408
it,164674
iu,3120
iv,77628
iw,144
ix,4482
iy,94
iz,12463
ja,5272
jb,42
jc,121
jd,74
je,13664
jf,8
jg,14
jh,33
ji,1386
jj,20
jk,26
jl,7
jm,86
jn,34
jo,32304
jp,35
jq,1
jr,515
js,190
jt,17
ju,8034
jv,20
jw,64
jx,1
jy,6
jz,11
ka,4812
kb,155
kc,48
kd,193
ke,175253
kf,2176
kg,530
kh,74
ki,76630
kj,151
kk,178
kl,10045
km,176
kn,61486
ko,942
kp,234
kq,4
kr,631
ks,48730
kt,1007
ku,575
kv,90
kw,410
kx,8
ky,5282
kz,4
la,139680
lb,3754
lc,8287
ld,102787
le,276604
lf,8080
lg,2483
lh,84
li,218366
lj,379
lk,20296
ll,227842
lm,9600
ln,3254
lo,167563
lp,42226
lq,17
lr,4749
ls,61638
lt,39931
lu,44857
lv,3590
lw,12495
lx,100
ly,177723
lz,342
ma,176851
mb,22156
mc,759
md,1085
me,277157
mf,3934
mg,11327
mh,106
mi,99506
mj,449
mk,80
ml,1365
mm,38564
mn,1371
mo,92166
mp,53413
mq,4
mr,4070
ms,32797
mt,19289
mu,48392
mv,151
mw,54
mx,314
my,24728
mz,1118
na,64348
nb,10696
nc,86908
nd,193550
ne,316650
nf,36550
ng,466861
nh,1495
ni,99451
nj,13795
